time,domain,noError,totalCount,aCount,cnameCount,mxCount,txtCount,clientipCount,subdomainCount,
20230604,whslsz.cn,1,3,2,0,0,0,2,2,
20230605,whslsz.cn,0,0,0,0,0,0,0,0,
20230606,whslsz.cn,0,0,0,0,0,0,0,0,
20230607,whslsz.cn,0,0,0,0,0,0,0,0,
20230608,whslsz.cn,1,37,37,0,0,0,14,2,
20230609,whslsz.cn,1,3,2,0,0,0,2,2,
20230610,whslsz.cn,1,2,1,0,0,0,1,1,
20230601,zainan.com.cn,0,0,0,0,0,0,0,0,
20230602,zainan.com.cn,0,0,0,0,0,0,0,0,
20230603,zainan.com.cn,0,0,0,0,0,0,0,0,
20230604,zainan.com.cn,1,1,0,0,0,0,1,1,
20230605,zainan.com.cn,0,0,0,0,0,0,0,0,
20230606,zainan.com.cn,1,1,0,0,0,0,1,1,
20230607,zainan.com.cn,0,0,0,0,0,0,0,0,
20230608,zainan.com.cn,0,0,0,0,0,0,0,0,
20230609,zainan.com.cn,0,0,0,0,0,0,0,0,
20230610,zainan.com.cn,1,1,1,0,0,0,1,1,
20230601,yumijy.cn,1,6,5,0,0,0,4,2,
20230602,yumijy.cn,1,2,1,1,0,0,2,2,
20230603,yumijy.cn,0,0,0,0,0,0,0,0,
20230604,yumijy.cn,1,2,2,0,0,0,2,2,
20230605,yumijy.cn,0,0,0,0,0,0,0,0,
20230606,yumijy.cn,0,0,0,0,0,0,0,0,
20230607,yumijy.cn,1,3,2,0,0,0,2,1,
20230608,yumijy.cn,0,0,0,0,0,0,0,0,
20230609,yumijy.cn,0,0,0,0,0,0,0,0,
20230610,yumijy.cn,0,0,0,0,0,0,0,0,
20230601,woqichuxing.cn,1,295,230,0,0,0,155,4,
20230602,woqichuxing.cn,1,288,222,0,4,0,161,4,
20230603,woqichuxing.cn,1,192,163,0,0,0,120,3,
20230604,woqichuxing.cn,1,193,158,0,0,0,117,4,
20230605,woqichuxing.cn,1,206,182,0,0,0,127,3,
20230606,woqichuxing.cn,1,251,219,1,0,0,147,4,
20230607,woqichuxing.cn,1,294,250,0,0,0,163,5,
20230608,woqichuxing.cn,1,345,303,0,0,0,215,3,
20230609,woqichuxing.cn,1,317,276,0,0,0,183,3,
20230610,woqichuxing.cn,1,233,192,2,0,0,134,4,
20230601,leu17.com,1,11,10,0,0,0,9,1,
20230602,leu17.com,1,10,8,0,0,0,8,3,
20230603,leu17.com,1,17,13,0,0,0,10,3,
20230604,leu17.com,1,4,4,0,0,0,4,2,
20230605,leu17.com,1,19,15,0,0,0,12,3,
20230606,leu17.com,1,12,10,0,0,0,10,4,
20230607,leu17.com,1,11,9,0,0,0,8,3,
20230608,leu17.com,1,4,3,0,0,0,3,2,
20230609,leu17.com,1,4,2,0,0,0,2,1,
20230610,leu17.com,1,3,2,0,0,0,2,3,
20230601,aaak.top,1,10,6,0,1,0,4,2,
20230602,aaak.top,1,4,3,0,0,0,1,1,
20230603,aaak.top,1,3,2,0,0,0,1,1,
20230604,aaak.top,1,2,1,0,0,0,2,2,
20230605,aaak.top,1,14,7,0,0,0,2,2,
20230606,aaak.top,1,14,11,0,0,0,2,2,
20230607,aaak.top,1,10,9,0,0,0,1,1,
20230608,aaak.top,1,11,9,0,0,0,2,2,
20230609,aaak.top,1,8,7,1,0,0,3,2,
20230610,aaak.top,1,9,8,0,0,0,1,1,
20230601,cxkh.net,1,1900,960,0,1,0,818,2,
20230602,cxkh.net,1,9,5,0,1,0,7,2,
20230603,cxkh.net,1,24,10,0,1,0,9,2,
20230604,cxkh.net,1,1766,888,0,3,0,776,2,
20230605,cxkh.net,1,10,6,0,3,0,8,2,
20230606,cxkh.net,1,12,7,0,1,0,7,2,
20230607,cxkh.net,1,17,12,0,2,0,10,2,
20230608,cxkh.net,1,38,17,0,2,0,11,2,
20230609,cxkh.net,1,1928,968,0,1,0,830,4,
20230610,cxkh.net,1,54,26,0,1,0,4,2,
20230601,ylwhy.org,0,3,3,0,0,0,1,1,
20230602,ylwhy.org,0,1,1,0,0,0,1,1,
20230603,ylwhy.org,0,2,2,0,0,0,1,1,
20230604,ylwhy.org,1,2,2,0,0,0,1,1,
20230605,ylwhy.org,1,4,3,1,0,0,3,2,
20230606,ylwhy.org,0,0,0,0,0,0,0,0,
20230607,ylwhy.org,1,3,3,0,0,0,2,1,
20230608,ylwhy.org,1,4,3,1,0,0,3,1,
20230609,ylwhy.org,1,1,1,0,0,0,1,1,
20230610,ylwhy.org,1,4,4,0,0,0,3,2,
20230601,ynjinlong.cn,1,3,3,0,0,0,3,1,
20230602,ynjinlong.cn,1,1,1,0,0,0,1,1,
20230603,ynjinlong.cn,1,2,1,0,0,0,1,1,
20230604,ynjinlong.cn,1,3,2,0,0,0,2,2,
20230605,ynjinlong.cn,1,3,2,0,1,0,2,2,
20230606,ynjinlong.cn,1,1,1,0,0,0,1,1,
20230607,ynjinlong.cn,1,1,1,0,0,0,1,1,
20230608,ynjinlong.cn,0,0,0,0,0,0,0,0,
20230609,ynjinlong.cn,0,0,0,0,0,0,0,0,
20230610,ynjinlong.cn,1,2,1,0,0,0,1,1,
20230601,zhimei168.top,1,8,7,0,0,0,4,3,
20230602,zhimei168.top,1,10,7,0,1,0,5,3,
20230603,zhimei168.top,0,1,0,0,1,0,1,1,
20230604,zhimei168.top,1,3,0,0,0,0,1,1,
20230605,zhimei168.top,1,2,1,0,0,0,1,1,
20230606,zhimei168.top,1,2,1,0,0,0,2,1,
20230607,zhimei168.top,0,1,0,0,1,0,1,1,
20230608,zhimei168.top,1,1950,984,0,0,0,825,2,
20230609,zhimei168.top,1,12,9,0,0,0,10,6,
20230610,zhimei168.top,1,28,14,0,0,0,9,3,
20230601,gzkedayiqi.com,0,0,0,0,0,0,0,0,
20230602,gzkedayiqi.com,0,0,0,0,0,0,0,0,
20230603,gzkedayiqi.com,1,4,4,0,0,0,2,2,
20230604,gzkedayiqi.com,1,1,0,0,0,0,1,1,
20230605,gzkedayiqi.com,1,2,2,0,0,0,1,1,
